Date,Account,Description,Amount,Account Type
2026-01-15,1000,Style artist community hundred assume.,-2985.61,Asset
2026-02-23,2000,Let yeah itself specific key drive involve consumer.,-709.8,Liability
2025-11-08,1000,Spring family sister.,-192.36,Asset
2025-12-10,3000,Everything follow stay drive sometimes.,1602.68,Equity
2026-01-27,3000,Air long discover ball economic rock teach.,1850.06,Equity
2025-12-25,5000,Series that skill bill thank.,-2122.6,Expense
2025-05-07,5000,Lawyer officer old near move light program.,-343.66,Expense
2025-08-28,2000,Lay threat learn decide social possible serious.,-1198.22,Liability
2026-03-15,2000,Record face source above alone suggest seat.,1857.61,Liability
2025-09-23,5000,Floor identify information never our instead.,-525.92,Expense
2025-08-27,3000,Soon people these serve might name staff.,2404.62,Equity
2025-05-05,1000,Outside thank whatever church option reduce down.,-2200.49,Asset
2026-02-27,3000,Beautiful keep building for put effect indeed.,-2569.2,Equity
2026-03-04,5000,Stop many need them recent hotel together candidate.,3859.18,Expense
2025-11-06,5000,Loss evening against half main answer wish.,3371.2,Expense
2025-12-27,3000,Billion answer after actually best.,-1338.42,Equity
2026-02-19,5000,President quite look pick again.,1606.33,Expense
2025-11-27,3000,Free them item.,-1976.96,Equity
2025-10-06,1000,Part modern development black visit.,-38.86,Asset
2025-08-14,4000,Matter operation police rate fire put.,1657.51,Revenue
2025-05-27,2000,Black specific federal care alone best wear.,-1657.56,Liability
2025-11-11,2000,Near officer Congress lawyer laugh political to.,2314.48,Liability
2025-10-16,4000,Story government president will fall benefit account city.,-3549.64,Revenue
2025-10-24,2000,Forget support site.,1429.78,Liability
2026-04-03,5000,Member PM front challenge matter deal.,3128.53,Expense
2025-04-12,1000,New along assume art include suffer.,4339.58,Asset
2026-03-27,4000,Give use white administration week character while.,-1473.98,Revenue
2025-09-13,4000,World him grow step.,1239.69,Revenue
2025-11-04,4000,Method operation name home from take leader.,1501.99,Revenue
2026-03-06,4000,Soon force sport from create.,1873.76,Revenue
2025-05-04,1000,Young market receive everybody help sea newspaper.,-2673.86,Asset
2025-09-13,4000,Area recent bag check window call performance.,631.66,Revenue
2025-07-31,2000,Mrs note would give candidate.,74.89,Liability
2026-03-05,3000,Standard with second family stop.,738.33,Equity
2025-11-22,3000,Foot section point finish bar.,-183.06,Equity
2025-11-22,4000,Population baby site sense eat.,-1918.05,Revenue
2025-12-23,5000,Worry feeling economy different rock.,-680.67,Expense
2025-12-16,2000,Group hear box officer.,1774.23,Liability
2025-08-21,5000,What able us day.,-51.42,Expense
2026-02-14,5000,Meeting ahead phone right travel with.,-279.29,Expense
2025-04-09,5000,Color space people candidate.,2774.3,Expense
2025-11-04,1000,Wish laugh century easy practice seem finish.,2671.65,Asset
2025-08-30,2000,Book never perform or discover.,1890.59,Liability
2025-05-21,5000,Eye much big leg often eight little.,3017.2,Expense
2025-05-21,4000,Issue several right action project issue case old.,-43.0,Revenue
2025-06-23,5000,Deep research stop back.,-192.58,Expense
2026-02-04,1000,High value believe likely analysis appear free.,703.0,Asset
2025-07-18,2000,We report add budget.,-1749.37,Liability
2025-05-01,5000,Collection than read record avoid whose hospital.,86.82,Expense
2025-07-21,2000,Role toward administration tree.,345.04,Liability
2025-09-26,3000,Reveal appear station development ability them tonight understand.,3204.04,Equity
2025-06-17,3000,Visit activity various performance.,-1332.94,Equity
2026-03-13,1000,Either seat society even per movie people.,-2105.87,Asset
2026-02-04,1000,Past attack teach when.,1708.4,Asset
2025-10-31,2000,Laugh serve toward from.,1482.45,Liability
2025-07-25,3000,Building best quite lay.,-2982.6,Equity
2026-03-03,5000,Also fear happen computer one despite.,-571.08,Expense
2025-12-25,3000,Hope entire sign yet add kitchen.,1180.23,Equity
2025-06-21,4000,Word they memory.,1957.31,Revenue
2025-10-07,5000,Former late subject tell reason.,4175.16,Expense
2026-01-23,2000,Run hour save prepare.,4240.11,Liability
2025-09-24,5000,Cut treat beyond school guess hard.,-466.63,Expense
2025-04-05,4000,Commercial Mrs only.,-445.76,Revenue
2025-05-22,3000,Kind too man vote.,-731.33,Equity
2025-05-10,3000,Song but fund strategy under position.,2875.13,Equity
2026-02-14,1000,International teacher sister require bit ground.,2286.43,Asset
2025-08-19,4000,Long year six approach real hope.,-1522.7,Revenue
2025-09-29,3000,Sort agency concern politics thought.,3202.88,Equity
2025-08-27,3000,Get consumer important claim.,-1130.89,Equity
2025-12-10,3000,Finish herself lot TV shake.,-2723.35,Equity
2025-06-07,4000,Hotel structure night reason think human.,-1523.62,Revenue
2026-01-26,1000,Professor pattern current fly pretty vote the.,-783.79,Asset
2025-04-07,4000,Forget exactly gun among material.,2758.53,Revenue
2025-12-23,4000,Growth word value left subject positive lawyer.,3258.76,Revenue
2025-10-22,5000,Toward far catch might government.,3020.51,Expense
2025-11-26,4000,Car card suddenly situation material.,987.47,Revenue
2025-06-18,1000,Catch customer account old report.,2605.91,Asset
2025-05-10,2000,House mind shoulder experience.,-384.74,Liability
2025-07-28,5000,Civil similar growth range subject same.,499.78,Expense
2025-08-01,3000,Card research parent occur enjoy.,2133.06,Equity
2026-01-21,3000,Throw necessary already weight.,1851.74,Equity
2026-02-06,3000,Old suggest by base four focus.,690.52,Equity
2025-08-30,2000,Professor along represent hear.,782.2,Liability
2025-04-23,5000,Foot consider likely without.,973.7,Expense
2025-05-04,3000,Design everyone teacher consider.,-1853.3,Equity
2025-08-28,1000,Practice season rule way.,2300.06,Asset
2025-09-04,2000,Interesting win say TV open drug prepare another.,862.82,Liability
2025-08-30,1000,Series great central simply pick per million.,1525.68,Asset
2025-07-09,2000,Enough reveal enough relate.,3515.64,Liability
2025-05-11,4000,Surface together new apply.,-2098.76,Revenue
2025-09-13,3000,Range professor buy wide edge certain sure.,803.27,Equity
2026-03-21,5000,Energy make protect cold not.,643.38,Expense
2025-10-04,1000,Court several daughter instead money property compare.,-43.45,Asset
2026-01-29,3000,Responsibility play outside such list election.,548.08,Equity
2026-01-22,1000,Police parent discover person.,1528.06,Asset
2025-04-25,5000,Difficult force record particularly citizen issue.,95.32,Expense
2025-11-20,5000,Car health economic official.,-2386.44,Expense
2025-06-13,1000,Technology dark draw lot outside scene.,-249.5,Asset
2026-03-28,5000,Area benefit nation society time.,-1989.15,Expense
2025-08-23,5000,Level Republican when law there various anything protect.,3252.62,Expense
2025-10-30,1000,Would listen sea energy ask.,2371.94,Asset
2025-04-17,2000,Trouble better research my sense.,2478.06,Liability
2025-11-09,3000,Reflect could arrive yourself realize opportunity growth.,-558.55,Equity
2026-03-06,2000,Technology system now war how.,468.11,Liability
2026-01-02,4000,Hand fly hour development born.,1185.72,Revenue
